,name,ari,silhouette,homogeneity,dim
0,AgglomerativeClustering,"{'fit_time': 3.02870774269104, 'best_score': 0.012268859219488776, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'average'}}","{'fit_time': 3.069180488586426, 'best_score': 0.5369885622740721, 'best_params': {'n_clusters': 2, 'compute_full_tree': False, 'linkage': 'ward'}}","{'fit_time': 3.02870774269104, 'best_score': 0.012642514611925356, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'average'}}",218
1,AgglomerativeClustering,"{'fit_time': 2.9429702758789062, 'best_score': 0.012268859219488776, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'average'}}","{'fit_time': 3.1695942878723145, 'best_score': 0.5369885622740721, 'best_params': {'n_clusters': 2, 'compute_full_tree': False, 'linkage': 'ward'}}","{'fit_time': 2.9429702758789062, 'best_score': 0.012642514611925356, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'average'}}",218
2,DBSCAN,"{'fit_time': 0.7894806861877441, 'best_score': 0.0010038320223567597, 'best_params': {'eps': 0.5, 'min_samples': 15, 'algorithm': 'kd_tree'}}","{'fit_time': 8.56255316734314, 'best_score': 0.6841157924612822, 'best_params': {'eps': 10, 'min_samples': 15, 'algorithm': 'kd_tree'}}","{'fit_time': 0.802405834197998, 'best_score': 0.008630527937714039, 'best_params': {'eps': 0.5, 'min_samples': 5, 'algorithm': 'kd_tree'}}",218
3,KMeans,"{'fit_time': 0.13889288902282715, 'best_score': 0.011711861463713993, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-06}}","{'fit_time': 0.13889288902282715, 'best_score': 0.5201165656599436, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-06}}","{'fit_time': 0.15521931648254395, 'best_score': 0.01251931534609918, 'best_params': {'n_clusters': 10, 'max_iter': 500, 'tol': 1e-06}}",218
4,SpectralClustering,"{'fit_time': 22.521888971328735, 'best_score': 0.0005893764136851754, 'best_params': {'n_clusters': 7, 'eigen_solver': 'amg'}}","{'fit_time': 135.2018964290619, 'best_score': 0.7057154629440573, 'best_params': {'n_clusters': 2, 'eigen_solver': 'amg'}}","{'fit_time': 20.009210348129272, 'best_score': 0.0022280080300536276, 'best_params': {'n_clusters': 10, 'eigen_solver': 'arpack'}}",218
5,MyKMeans,"{'fit_time': 0.07460880279541016, 'best_score': 0.011711861463713993, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-05}}","{'fit_time': 0.07460880279541016, 'best_score': 0.5201165656599436, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-05}}","{'fit_time': 1.5654315948486328, 'best_score': 0.012686128344091805, 'best_params': {'n_clusters': 10, 'max_iter': 500, 'tol': 1e-05}}",218
0,AgglomerativeClustering,"{'fit_time': 1.4428112506866455, 'best_score': 0.010771247751876963, 'best_params': {'n_clusters': 4, 'compute_full_tree': False, 'linkage': 'average'}}","{'fit_time': 1.563399314880371, 'best_score': 0.6122801855504031, 'best_params': {'n_clusters': 2, 'compute_full_tree': False, 'linkage': 'average'}}","{'fit_time': 1.4968047142028809, 'best_score': 0.013272929070826663, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'average'}}",20
1,AgglomerativeClustering,"{'fit_time': 1.34977126121521, 'best_score': 0.010771247751876963, 'best_params': {'n_clusters': 4, 'compute_full_tree': False, 'linkage': 'average'}}","{'fit_time': 1.420290231704712, 'best_score': 0.6122801855504031, 'best_params': {'n_clusters': 2, 'compute_full_tree': False, 'linkage': 'average'}}","{'fit_time': 1.4944987297058105, 'best_score': 0.013272929070826663, 'best_params': {'n_clusters': 10, 'compute_full_tree': False, 'linkage': 'average'}}",20
2,DBSCAN,"{'fit_time': 0.14233851432800293, 'best_score': 0.0010129535571263802, 'best_params': {'eps': 0.5, 'min_samples': 15, 'algorithm': 'kd_tree'}}","{'fit_time': 0.5975797176361084, 'best_score': 0.6999007615525252, 'best_params': {'eps': 10, 'min_samples': 5, 'algorithm': 'kd_tree'}}","{'fit_time': 0.19863629341125488, 'best_score': 0.009444689489426582, 'best_params': {'eps': 0.5, 'min_samples': 5, 'algorithm': 'kd_tree'}}",20
3,KMeans,"{'fit_time': 0.11555099487304688, 'best_score': 0.011711861463713993, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-06}}","{'fit_time': 0.11555099487304688, 'best_score': 0.5437649012715228, 'best_params': {'n_clusters': 2, 'max_iter': 500, 'tol': 1e-06}}","{'fit_time': 0.033971309661865234, 'best_score': 0.013207737790102174, 'best_params': {'n_clusters': 10, 'max_iter': 500, 'tol': 1e-06}}",20
